speed(rpm),torque(Nm),Fuel flow (l/hr.),max fuel flow,adjusted
1000,3.361059062,0.712831,17.1612,0.041537363
1000,7.96570468,0.8225,,0.047927884
1000,14.5308459,0.9744,,0.056779246
1000,20.70207865,1.2306,,0.071708272
1000,27.00461422,1.4868,,0.086637298
1000,33.21961457,1.7388,,0.101321586
1000,38.95317124,2.0538,,0.119676946
1000,44.6867279,2.31,,0.134605972
1000,47.49792137,2.45927,,0.143304081
2000,3.176386016,0.784114,,0.045691094
2000,9.016127275,0.9975,,0.058125306
2000,15.49373328,1.302,,0.07586882
2000,21.40236038,1.6128,,0.093979442
2000,27.70489595,1.9362,,0.112824278
2000,34.27003717,2.2806,,0.132892805
2000,41.49169251,2.6964,,0.15712188
2000,48.05201929,3.20774,,0.186918164
2000,53.834158,3.717,,0.216593245
3000,3.195035394,1.0416,,0.060695056
3000,10.06654987,1.47,,0.085658346
3000,16.63169109,1.9908,,0.116005874
3000,22.97799427,2.4528,,0.142927068
3000,29.36806506,2.9064,,0.169358786
3000,35.93320628,3.4398,,0.200440529
3000,41.79806577,3.8472,,0.224180127
3000,54.27183408,5.2836,,0.307880568
3000,62.54391202,6.1572,,0.358786099
4000,3.107500177,1.2432,,0.072442487
4000,10.59176117,1.8228,,0.106216349
4000,17.37574043,2.3982,,0.139745472
4000,24.02841686,2.9442,,0.171561429
4000,30.50602287,3.5028,,0.204111601
4000,36.80855844,4.0278,,0.234703867
4000,42.93602358,4.599,,0.267988253
4000,49.41362958,5.1954,,0.302741067
4000,64.557222,7.3206,,0.426578561
5000,3.151267786,1.554,,0.090553108
5000,10.54799356,2.2386,,0.130445423
5000,17.37574043,2.9652,,0.17278512
5000,30.81239613,4.263,,0.248409202
5000,37.59637539,5.0064,,0.291727851
5000,45.12440398,5.8002,,0.337983358
5000,50.81419304,6.5058,,0.379099364
5000,66.13285589,8.8746,,0.517131669
6000,3.063732569,1.8942,,0.110376897
6000,10.11031748,2.6796,,0.156142927
6000,16.71922631,3.486,,0.203132648
6000,23.37190274,4.263,,0.248409202
6000,30.19964961,5.0946,,0.296867352
6000,37.33376974,5.9514,,0.346793931
6000,43.72384052,6.825,,0.397699462
6000,57.16049622,9.366,,0.54576603
6000,66.13285589,11.5584,,0.673519334
7000,2.345352933,2.38798,,0.139149943
7000,8.709754018,3.3012,,0.19236417
7000,15.84387414,4.305,,0.250856584
7000,22.32148015,5.1996,,0.302985805
7000,29.01792419,6.237,,0.363436123
7000,35.5392978,7.2576,,0.422907489
7000,42.76095315,8.6436,,0.503671072
7000,48.9759535,9.9666,,0.580763583
7000,54.84081299,11.7096,,0.682329907
7000,63.46303179,14.6244,,0.852178169
8000,1.976006842,3.13646,,0.182764609
8000,5.295880584,3.6498,,0.212677435
8000,12.07985984,4.851,,0.28267254
8000,18.2948602,5.9682,,0.347772883
8000,24.2034873,7.077,,0.412383749
8000,30.37472004,8.3706,,0.487763094
8000,42.5421151,11.8944,,0.693098385
8000,47.61915765,13.7004,,0.798335781
8000,52.7399678,15.6324,,0.910915321
8000,57.11672861,17.1612,,1
